Timestamp,Sensor_ID,Flow_Rate,Nitrate_Level,Phosphate_Level,Precipitation,Rainfall_Intensity,Temperature,Humidity,Wind_Speed,Wind_Direction,Nitrate_Level_lag_1,Nitrate_Level_lag_3,Nitrate_Level_lag_6,Nitrate_Level_lag_12,Nitrate_Level_lag_24,Phosphate_Level_lag_1,Phosphate_Level_lag_3,Phosphate_Level_lag_6,Phosphate_Level_lag_12,Phosphate_Level_lag_24,Flow_Rate_lag_1,Flow_Rate_lag_3,Flow_Rate_lag_6,Flow_Rate_lag_12,Flow_Rate_lag_24,Precipitation_lag_1,Precipitation_lag_3,Precipitation_lag_6,Precipitation_lag_12,Precipitation_lag_24,Temperature_lag_1,Temperature_lag_3,Temperature_lag_6,Temperature_lag_12,Temperature_lag_24,Nitrate_Level_rolling_mean_6,Nitrate_Level_rolling_std_6,Nitrate_Level_rolling_mean_12,Nitrate_Level_rolling_std_12,Nitrate_Level_rolling_mean_24,Nitrate_Level_rolling_std_24,Nitrate_Level_rolling_mean_48,Nitrate_Level_rolling_std_48,Phosphate_Level_rolling_mean_6,Phosphate_Level_rolling_std_6,Phosphate_Level_rolling_mean_12,Phosphate_Level_rolling_std_12,Phosphate_Level_rolling_mean_24,Phosphate_Level_rolling_std_24,Phosphate_Level_rolling_mean_48,Phosphate_Level_rolling_std_48,Flow_Rate_rolling_mean_6,Flow_Rate_rolling_std_6,Flow_Rate_rolling_mean_12,Flow_Rate_rolling_std_12,Flow_Rate_rolling_mean_24,Flow_Rate_rolling_std_24,Flow_Rate_rolling_mean_48,Flow_Rate_rolling_std_48,Precipitation_rolling_mean_6,Precipitation_rolling_std_6,Precipitation_rolling_mean_12,Precipitation_rolling_std_12,Precipitation_rolling_mean_24,Precipitation_rolling_std_24,Precipitation_rolling_mean_48,Precipitation_rolling_std_48,Temperature_rolling_mean_6,Temperature_rolling_std_6,Temperature_rolling_mean_12,Temperature_rolling_std_12,Temperature_rolling_mean_24,Temperature_rolling_std_24,Temperature_rolling_mean_48,Temperature_rolling_std_48
2023-01-01 00:00:00,1,11.97023138339368,4.4321223165874235,2.1914049473718817,0.0,0.0,17.927522448061563,58.694086968341786,6.540995040903815,265.3811802592477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 01:00:00,1,9.908064474813546,5.039227688054535,1.48314180095479,0.0,0.0,12.227104842512844,63.150231274986425,4.85298652346687,134.47654164711085,4.4321223165874235,,,,,2.1914049473718817,,,,,11.97023138339368,,,,,0.0,,,,,17.927522448061563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 02:00:00,1,11.472439525808484,4.449970737684029,1.880162745135344,0.0,0.0,14.635442385615008,79.71059162079676,11.044042225765867,60.93199252330791,5.039227688054535,,,,,1.48314180095479,,,,,9.908064474813546,,,,,0.0,,,,,12.227104842512844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 03:00:00,1,11.8633288451588,5.4887366237957345,2.3411613372841944,0.0,0.0,13.794812572474015,82.13546497543727,10.89882821934469,39.30917489673626,4.449970737684029,4.4321223165874235,,,,1.880162745135344,2.1914049473718817,,,,11.472439525808484,11.97023138339368,,,,0.0,0.0,,,,14.635442385615008,17.927522448061563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 04:00:00,1,14.787852253266198,4.427125525021296,2.2357403005978806,0.0,0.0,15.205820020301127,84.18473050179222,12.215156835851351,9.384066064155592,5.4887366237957345,5.039227688054535,,,,2.3411613372841944,1.48314180095479,,,,11.8633288451588,9.908064474813546,,,,0.0,0.0,,,,13.794812572474015,12.227104842512844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 05:00:00,1,14.54227649148303,4.9992955351659125,1.764816027092631,0.0,0.0,14.524262961397383,63.70755332404081,7.595730486261123,130.49461189700088,4.427125525021296,4.449970737684029,,,,2.2357403005978806,1.880162745135344,,,,14.787852253266198,11.472439525808484,,,,0.0,0.0,,,,15.205820020301127,14.635442385615008,,,,4.8060797377181546,0.43999427343621506,,,,,,,1.9827378597394538,0.3297354633732779,,,,,,,12.424032162320623,1.8884146667329949,,,,,,,0.0,0.0,,,,,,,14.71916087172699,1.8783065853493215,,,,,,
2023-01-01 06:00:00,1,17.296186903715537,6.5454764220847865,1.91828432103957,0.0,0.0,17.097624918344437,77.06784538489865,12.283089730783654,140.01740924000978,4.9992955351659125,5.4887366237957345,4.4321223165874235,,,1.764816027092631,2.3411613372841944,2.1914049473718817,,,14.54227649148303,11.8633288451588,11.97023138339368,,,0.0,0.0,0.0,,,14.524262961397383,13.794812572474015,17.927522448061563,,,5.158305421967715,0.7885751556040518,,,,,,,1.9372177553507346,0.31362627593954256,,,,,,,13.3116914157076,2.7068384785229624,,,,,,,0.0,0.0,,,,,,,14.580844616774135,1.6055464515908482,,,,,,
2023-01-01 07:00:00,1,12.010517490258351,4.386640193434661,2.660182606001858,0.0,0.0,18.226431867339013,71.21058521402225,19.873628469899145,345.2527905008838,6.5454764220847865,4.427125525021296,5.039227688054535,,,1.91828432103957,2.2357403005978806,1.48314180095479,,,17.296186903715537,14.787852253266198,9.908064474813546,,,0.0,0.0,0.0,,,17.097624918344437,15.205820020301127,12.227104842512844,,,5.04954083953107,0.8508305579887381,,,,,,,2.1333912228585796,0.3398223746578891,,,,,,,13.662100251615067,2.2806372733014584,,,,,,,0.0,0.0,,,,,,,15.580732454245164,1.7111667594063693,,,,,,
2023-01-01 08:00:00,1,10.739774108379446,5.699426620121183,2.0959429161891467,0.0,0.0,14.257041161207358,68.91832751284056,7.584810377509869,237.15433439564785,4.386640193434661,4.9992955351659125,4.449970737684029,,,2.660182606001858,1.764816027092631,1.880162745135344,,,12.010517490258351,14.54227649148303,11.472439525808484,,,0.0,0.0,0.0,,,18.226431867339013,14.524262961397383,14.635442385615008,,,5.257783486603929,0.8273137751134111,,,,,,,2.1693545847008804,0.3184065844052264,,,,,,,13.539989348710227,2.4356699866570066,,,,,,,0.0,0.0,,,,,,,15.517665583510555,1.759271391047682,,,,,,
2023-01-01 09:00:00,1,11.640380745520805,5.439447391166201,1.5112966159134964,0.0,0.0,12.36634842952451,78.07288532266892,15.622026630077412,335.3505331244288,5.699426620121183,6.5454764220847865,5.4887366237957345,,,2.0959429161891467,1.91828432103957,2.3411613372841944,,,10.739774108379446,17.296186903715537,11.8633288451588,,,0.0,0.0,0.0,,,14.257041161207358,17.097624918344437,13.794812572474015,,,5.249568614499006,0.8248027558588649,,,,,,,2.0310437978057636,0.3989128356884718,,,,,,,13.502831332103895,2.467852487952307,,,,,,,0.0,0.0,,,,,,,15.279588226352304,2.1022688446635227,,,,,,
